"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"s***2","PLUS会员","star5","围观了好几天，和大家一样不敢入手，最后还是决定在这家入手10088。第一，塑封是原封的没有问题，大家最关心的配件也都是原装配件，和之前iphone的配件对比过，完全一致细节都很完美，好多人说收到的数据线是硬的说是假的，这个就让人很无语了，可以去直营买，是软的我直接吃掉，全新的都是有点僵的，用一段时间就自然软了，机器很棒，大家放心购买，只能说行业竞争太激烈，卖不出去的就来诋毁，说这个假的那个假的，我相信我发表后会有大批喷子，黑子前来吐槽，晒几张实物图视频就不拍了，麻烦。","2017-11-08 10:37","3","2","[购买1天后追评]","最后再吐槽一下包装，真的太喽了，至少给个盒子吧，一个气泡袋，?东西还是很不错的，如同增值税发票也有，这样直营店保修就售后无忧了","https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:32.8071539"
"j***9","PLUS会员","star5","做为手机检测机构的专家，特别是在工信部进网检测机构工作过十年的员工，我判定我这手机是国行。","2017-11-07 16:55","2","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:35.5309680"
"5***0","京享值19782","star5","手机很赞，快递也还可以，还热着呢，准备试试机子。","2017-11-11 14:38","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:35.6650567"
"孙***晨","京享值26411","star5","从苹果1代用到X 除了4代以外 这个X确实是最惊艳的一代 手感也很不错 面部解锁也很快 而且黑灯情况下也可以 商家发货速度也很快 完美体验","2017-11-07 09:55","3","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:35.9912753"
"天***年","PLUS会员","star1","收到手机的时候这个膜已经被刀开过的，手机肯定不是原装未拆封的！！配件也可能被卖家更换过。怪不得这家店卖的这么便宜。说好的给我开发票，发票也没有寄过来。","2017-11-08 13:53","91","9",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:36.0943439"
"w***6","PLUS会员","star5","手机是正品，全面屏很不错，很多软件目前还不支持全面屏，运行速度非常快，高大上。","2017-11-16 23:29","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:36.1994120"
"m***e","PLUS会员","star5","抢手机好难抢 看到这个48小时发货 就果断入手了  黑色贵一点  不过无所谓 比黄牛便宜","2017-11-06 16:36","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:36.3184926"
"j***v","PLUS会员","star5","东西收到了，京东物流快，送的东西也很好","2017-11-04 22:47","4","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:36.4315672"
"j***z","PLUS会员[试用]","star5","收到X,迫不及待地打开玩了一会儿，手感很好，感觉挺不错的。","2017-11-07 20:25","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:36.5496465"
"橘***葵","PLUS会员","star5","盒子是有点被压了 但其实没啥吧手机用着感觉挺正常的 也查了激活的日期是对哒～就是感觉里面说明书的纸质有点粗糙其他东西看着还好哈哈我从iphone4开始，除了iphone8/8plus以外的每一个机型都使用过，x刚入手还没有太特别的体验，慢慢适应慢慢发觉吧。致敬乔帮主，来自不算资深的果粉一枚。（本条评价是用我的7plus发的，这个手机还是会继续用～^_^）","2017-11-11 14:51","1","3",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:36.6777312"
"love294051","PLUS会员[试用]","star5","发货很快，宝贝漂亮，手感不错，质量很好，体验不错，信誉很好。用了一天还可以。","2017-11-08 20:33","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:36.8088191"
"x***n","PLUS会员","star5","发货速度杠杠滴，物流包装很好。无线充电工作也非常不错的。","2017-11-04 11:32","34","73",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:39.0953407"
"闵***东","PLUS会员","star5","东西很喜欢是正品，物流也很快，我很喜欢客服也很热情","2017-11-05 15:14","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:39.4655899"
"芒***活","PLUS会员","star5","正品，正在使用。后续发展问题再来追。","2017-11-09 14:41","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:39.5636533"
"流***羽","PLUS会员","star5","已收到 7号下单 9号到的货 给力","2017-11-10 09:13","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:39.6627199"
"2***7","PLUS会员","star1","只针对手机哈，商家没问题。真的失望到极点，用惯了plus的人可能真的适应不了x，屏幕不是变大了，是变小了，拉长了，变窄了，单手操作也还是没多方便，感觉是在用拉长版的iPhone5…还要硬着头皮用…我真的服了我自己，大家真的一定要看看真机在下决定，x是苹果有史以来最让人失望的作品。个人观点，肯定有朋友还是很喜欢x，也是认可的。反正多做调查再买吧，哎…","2017-11-13 21:53","19","4",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:39.7767959"
"x***0","PLUS会员[试用]","star5","店铺评价不太好，收到货后没打开，仔细的看了封膜，确实没有打开过的痕迹，除非这店有能力能自己封苹果手机盒的这种膜，打开后屏幕像别的网友说的那样，有少量的灰尘，但是没有发现指纹，激活后查了保修，一切正常，确实是原版国行，耳机看做工精细度应该是正品，重点说一下这个充电器，有些许刺鼻气味，而且线很硬，线的边缘还有毛刺（图三），怎么看都不像苹果的做工，但是奇怪的是充电头又特别的精致，线的金属部分也很精致，拿出之前的果7原装线对比了一下，充电头和线金属部分都一摸一样，唯独线的材质和做工不一样，充电速度上感觉稍慢，但是手机盒确实是原封，店里送的壳直接可以扔掉，还不如不送，送的膜倒是还可以，再说这发票的事，买前再三嘱咐发票一定要带，最后还是没给我发票，我看评论里很多人都没有发票，而且客服回答也都是“忘了”，最后给我补发了。买国行不就是为了保修吗？连发票都没有怎么保修啊。总体上这手机像是原封，但充电器又不像，要么就是店里有能力封膜，要么就是苹果的品控下降了","2017-11-13 19:32","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:39.8858692"
"d***y","京享值14099","star5","到手了，很棒，连发票也一起寄过来了！","2017-11-10 11:49","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:39.9989432"
"j***r","PLUS会员","star5","手机真的很不错，绝对是正品，用了八年苹果了这点还是能分辨商家也很不错值得信赖","2017-11-10 21:08","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:40.1150211"
"1***p","PLUS会员","star5","太开心了！其实等不了几天就收到了！关键是还收到的是这么好的机子！！！一直忐忑不安，现在更不能平静，不说了，玩新手机去了","2017-11-07 13:01","0","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:40.2801298"
"叶***子","京享值25322","star5","4号下单7号到还算好吧，不是本地仓，也不算太慢，不过好多软件不兼容，不知道啥时候才能好。7P不想换8，可是这两大块黑的真难受。","2017-11-07 19:30","0","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:40.4042150"
"乌***佐","京享值17075","star5","很好很强大，比其他平台快，三天拿到不得不说京东的物流给力，并且服务也很好，送的钢化膜跟…套套………这个…就不说了…手机棒棒的…","2017-11-08 11:36","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:42.6897347"
"j***9","京享值18247","star3","我喜欢，手感很好，不6s强多了，特别是面部解锁，功能强大！第一次和最新款亲密接触！","2017-11-15 22:21","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:42.7908033"
"g***8","京享值11276","star5","耶耶耶！3号拍下，4号早晨就收到货了！那个激动和开心难以言表！用了下x，除了贵就是满意了！","2017-11-04 13:51","7","29",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:42.8898686"
"星***官","PLUS会员","star5","手机是正品，苹果的品质，不用说了，手机里的第一。","2017-11-11 07:48","2","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:42.9909353"
"v***G","京享值8900","star5","手机收到啦，物流很快，1天就能到。4号晚上买的，5号下午就到了，买的时候还没什么评论，担心不是正品啥的。收到手机后，检验了一下，是正品，行货，没有问题，用了两天，今天过来评论了，大家可以放心购买啦","2017-11-07 16:57","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:43.0980072"
"S***u","PLUS会员","star5","机器是正品，全新未开封。用惯所有plus的朋友，再用X感觉很小，不习惯，且银色机器外观的边框是透明的像镜子一样，易留下指纹，可能这就是黑色比银色贵几百元的原因吧。再者，机器特别厚，比plus都厚，看着很笨重，让我想起了iphone3G，但因为是第一代X，随着后续每年的更新，相信会越来越薄吧！卖家送到赠品质量还是可以的，但本人只实用原装配件，赠品直接扔了。。。桶。","2017-11-12 00:08","0","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:43.2190879"
"因***啡","京享值9118","star5","没有在网上买过手机，这次本来也是在官网上遇到，结果等的时间要20多天，无意就来京东搜了一下，发现有现货。我买成8588。想的是必官网贵不了多少，然后也是看了评价。我想机子刚出来应该不存在什么翻新这一说。就拍了。2天收到货立刻开机查序列号这些 没有什么问题 保修期也是到明年。大家可以放心购买。用了券哪些下来8400多可以","2017-11-13 13:16","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:43.3491745"
"B***d","京享值18285","star5","心目中最棒的手机，没有之一，值这个价格???","2017-11-04 22:48","2","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:43.4942712"
